State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Idaho,1,Monday,22:15:37,Foggy,Dry,Night,Rural,164,Crossroads,Pedestrian involved,Car,68,Senior,1,Single-vehicle,113,1.0,65.0,6.492081197,7.159521229,680.8175952,5.360995813,0.614102589,17.0,28.47809026,False,0.2615384615384615,6-10 km,1939033,11.1,80,88,54,84
Washington,1,Saturday,22:52:26,Stormy,Dry,Night,Rural,293,Roundabout,Cyclist involved,Car,240,Senior,5,Multiple-vehicle,342,0.0,65.0,0.410071806,7.363835847,303.0023232,3.82358423,0.185944933,24.0,6.263128811,False,0.3692307692307692,0-3 km,7785786,9.4,240,94,212,156
West Virginia,1,Sunday,15:14:22,Foggy,Muddy,Daylight,Street,1,Roundabout,Side collision,Motorcycle,42,Young Adult,4,Multiple-vehicle,103,2.0,56.0,7.37767542,7.926475545,384.5208564,8.87499963,0.853344784,33.0,6.501816785,False,0.5892857142857143,6-10 km,1775156,14.9,102,93,57,85
Ohio,2,Tuesday,01:42:11,Rainy,Dry,Night,Freeway,8,Intersection,Rear-end collision,Pedestrian,160,Adult,4,Multiple-vehicle,638,0.0,53.0,1.499047674,2.399364319,455.8988793,3.431664436,0.371316621,14.0,17.02551415,False,0.2641509433962264,0-3 km,11756058,10.8,539,81,307,402
Delaware,1,Wednesday,05:09:31,Foggy,Muddy,Dawn,Freeway,0,Overpass,Head-on collision,Motorcycle,22,Senior,5,Multiple-vehicle,95,3.0,58.0,8.000308397,7.434811457,362.2118001,3.431664436,0.994272979,14.0,10.10098834,False,0.2413793103448276,6-10 km,1018396,15.9,46,90,61,36
North Dakota,1,Friday,06:47:43,Rainy,Icy,Daylight,Street,0,Roundabout,Head-on collision,Car,13,Senior,1,Single-vehicle,43,2.0,41.0,9.243059258,1.864286774,276.6469443,5.023917297,0.768698436,79.0,23.64419575,True,1.9268292682926829,6-10 km,779261,12.6,41,81,13,41
Kansas,2,Saturday,00:55:15,Foggy,Snowy,Night,Street,1,Intersection,Cyclist involved,Car,140,Young Adult,5,Multiple-vehicle,190,3.0,69.0,1.628514328,5.671462906,709.6785514,9.252960526,0.53504301,80.0,26.69623703,True,1.1594202898550725,0-3 km,2937150,14.0,116,87,114,148
Maryland,1,Tuesday,09:00:59,Rainy,Icy,Daylight,Urban,526,Crossroads,Pedestrian involved,Motorcycle,77,Adult,2,Multiple-vehicle,274,0.0,51.0,7.882792398,1.534167693,103.7757022,5.57674111,0.449891227,3.0,29.02275244,False,0.0588235294117647,6-10 km,6164660,9.1,208,93,154,150
Hawaii,2,Tuesday,19:15:37,Stormy,Dry,Night,Urban,101,Overpass,Rear-end collision,Motorcycle,33,Young Adult,4,Multiple-vehicle,50,2.0,31.0,2.281053203,4.731487908,403.2760734,6.738776716,0.303515936,96.0,29.02275244,True,3.096774193548387,0-3 km,1440196,8.1,28,96,24,16
Alaska,1,Monday,23:16:46,Rainy,Snowy,Night,Freeway,2,T-Junction,Rear-end collision,Truck,1,Adult,2,Multiple-vehicle,44,2.0,33.0,5.11223712,3.197563076,161.6676603,3.087748231,0.830240687,17.0,29.02275244,False,0.5151515151515151,3-6 km,733583,11.2,39,92,31,17
Michigan,1,Tuesday,23:35:43,Stormy,Dry,Night,Rural,425,T-Junction,Cyclist involved,Pedestrian,169,Teenager,2,Multiple-vehicle,546,3.0,70.0,7.644100363,8.88689905,793.1041603,9.1035067,0.31411459,40.0,29.58140401,False,0.5714285714285714,6-10 km,10034113,11.2,180,93,333,233
Michigan,1,Tuesday,01:20:53,Foggy,Dry,Night,Urban,690,Roundabout,Cyclist involved,Car,331,Teenager,3,Multiple-vehicle,546,3.0,67.0,1.893152933,5.274715825,882.3254758,3.530817478,0.835025275,34.0,27.26126924,False,0.5074626865671642,0-3 km,10034113,11.2,180,93,333,233
Georgia,2,Thursday,03:49:08,Sunny,Muddy,Night,Highway,1,Underpass,Pedestrian involved,Pedestrian,345,Young Adult,4,Multiple-vehicle,787,1.0,45.0,4.726869916,7.455563985,312.8640565,3.953235275,0.586202122,87.0,13.60864959,False,1.9333333333333331,3-6 km,10912876,16.5,466,89,461,527
Pennsylvania,1,Monday,20:08:19,Rainy,Icy,Night,Urban,689,Underpass,Head-on collision,Car,393,Young Adult,5,Multiple-vehicle,575,2.0,40.0,9.339976249,1.057864261,890.0287902,8.20386421,0.470389208,61.0,11.59538804,True,1.525,6-10 km,12972008,9.1,320,90,263,342
Nevada,1,Monday,23:59:37,Sunny,Snowy,Night,Highway,0,Intersection,Rollover,Truck,9,Young Adult,5,Multiple-vehicle,181,1.0,40.0,3.159094447,2.850944848,455.3249473,7.676312579,0.168878135,86.0,15.34942085,False,2.15,3-6 km,3177772,13.1,110,93,87,84
Wyoming,2,Monday,21:25:11,Rainy,Muddy,Night,Highway,1,T-Junction,Side collision,Bicycle,1,Senior,3,Multiple-vehicle,50,3.0,49.0,2.35522863,4.825160231,859.1134055,3.206711751,0.381984199,31.0,5.321265716,False,0.6326530612244898,0-3 km,581381,23.0,42,78,26,61
Alaska,1,Friday,22:42:51,Snowy,Icy,Night,Highway,2,Overpass,Rollover,Truck,1,Teenager,4,Multiple-vehicle,44,2.0,40.0,1.77431238,2.176425645,445.6080739,6.680065679,0.908190216,43.0,23.45107005,True,1.075,0-3 km,733583,11.2,39,92,31,17
Idaho,1,Friday,11:26:17,Rainy,Wet,Daylight,Rural,164,Overpass,Rear-end collision,Truck,2,Adult,4,Multiple-vehicle,102,1.0,43.0,0.898982247,5.882345145,292.5869427,9.383106498,0.736524721,44.0,22.64137028,True,1.0232558139534884,0-3 km,1939033,11.1,80,88,54,84
Vermont,2,Thursday,22:49:17,Rainy,Wet,Night,Urban,12,Overpass,Rear-end collision,Motorcycle,14,Adult,1,Single-vehicle,43,1.0,31.0,6.050009822,7.765285344,510.3109459,8.741629498,0.523637497,93.0,17.60873772,True,3.0,6-10 km,647064,11.7,31,90,18,27
Connecticut,2,Sunday,05:40:17,Rainy,Dry,Dawn,Urban,313,Roundabout,Cyclist involved,Motorcycle,67,Adult,5,Multiple-vehicle,170,2.0,66.0,6.345482437,3.841055828,553.8375454,8.539121386,0.627044545,76.0,23.3412251,True,1.1515151515151516,6-10 km,3626205,9.9,141,92,83,76
Tennessee,1,Tuesday,10:17:12,Sunny,Muddy,Daylight,Rural,535,Overpass,Pedestrian involved,Car,469,Teenager,5,Multiple-vehicle,604,2.0,32.0,5.046493675,6.44248221,379.6763029,4.713453377,0.41702188,81.0,23.3412251,True,2.53125,3-6 km,7051339,18.6,446,91,378,438
Georgia,2,Monday,08:52:22,Stormy,Icy,Daylight,Highway,1,Intersection,Cyclist involved,Truck,51,Senior,5,Multiple-vehicle,787,2.0,67.0,8.723685839,8.70548998,796.4015676,9.537236509,0.402866833,7.0,22.40520149,False,0.1044776119402985,6-10 km,10912876,16.5,466,89,461,527
Georgia,2,Tuesday,21:38:58,Rainy,Icy,Night,Street,1,Overpass,Side collision,Truck,51,Senior,1,Single-vehicle,1,3.0,48.0,7.185300682,4.777826327,592.2312636,9.106733987,0.608795468,66.0,20.69373607,True,1.375,6-10 km,10912876,16.5,466,89,461,527
Alaska,2,Friday,11:36:08,Rainy,Icy,Daylight,Street,2,Underpass,Rollover,Pedestrian,13,Adult,2,Multiple-vehicle,44,1.0,40.0,2.231367286,1.254830028,726.3667456,9.12993066,0.854209782,61.0,20.69373607,True,1.525,0-3 km,733583,11.2,39,92,31,17
South Carolina,1,Sunday,05:02:10,Snowy,Wet,Dawn,Highway,0,Overpass,Pedestrian involved,Car,365,Teenager,2,Multiple-vehicle,491,2.0,64.0,2.375662602,6.162136624,204.6171232,8.377359282,0.888799279,20.0,7.860302146,False,0.3125,0-3 km,5282634,20.7,441,91,284,380
Nevada,1,Monday,02:39:28,Foggy,Dry,Night,Street,0,Intersection,Run-off-road,Bicycle,15,Teenager,1,Single-vehicle,235,3.0,31.0,6.714208507,5.531510133,946.6034565,7.367084088,0.567305888,87.0,14.7927122,True,2.806451612903226,6-10 km,3177772,13.1,110,93,87,84
Utah,1,Tuesday,01:24:00,Stormy,Snowy,Night,Freeway,0,Underpass,Run-off-road,Pedestrian,45,Senior,3,Multiple-vehicle,139,0.0,46.0,5.011633136,7.420988481,267.3991425,4.333159815,0.746808079,9.0,14.7927122,False,0.1956521739130435,3-6 km,3380800,9.4,117,90,80,87
Massachusetts,1,Sunday,13:30:00,Stormy,Dry,Daylight,Urban,400,Roundabout,Rollover,Car,163,Teenager,2,Multiple-vehicle,168,2.0,58.0,7.762099439,1.596337086,953.8205561,5.041127229,0.813357016,32.0,10.57941406,False,0.5517241379310345,6-10 km,6981974,6.2,204,77,96,137
Alabama,1,Saturday,08:16:56,Sunny,Icy,Daylight,Street,1,Intersection,Rollover,Truck,30,Young Adult,4,Multiple-vehicle,457,1.0,48.0,7.469533676,8.800747504,595.8138433,4.290288676,0.10151207,1.0,14.65143158,False,0.0208333333333333,6-10 km,5074296,19.5,344,93,283,364
Idaho,1,Monday,12:10:40,Rainy,Icy,Daylight,Street,0,Crossroads,Head-on collision,Pedestrian,16,Young Adult,3,Multiple-vehicle,102,1.0,60.0,2.100370558,3.367200391,739.2643712,8.118780316,0.302809124,1.0,19.64987261,False,0.0166666666666666,0-3 km,1939033,11.1,80,88,54,84
Hawaii,1,Tuesday,06:13:18,Stormy,Icy,Daylight,Freeway,1,T-Junction,Cyclist involved,Motorcycle,33,Adult,4,Multiple-vehicle,50,0.0,56.0,7.268690355,7.273092887,456.9481743,7.531804194,0.353318065,19.0,14.33066433,False,0.3392857142857143,6-10 km,1440196,8.1,28,96,24,16
Wisconsin,2,Sunday,07:12:23,Snowy,Icy,Daylight,Highway,1,Overpass,Pedestrian involved,Pedestrian,72,Young Adult,4,Multiple-vehicle,276,2.0,56.0,5.249716239,6.154693531,490.8063822,4.799763599,0.936321803,31.0,28.42424788,False,0.5535714285714286,3-6 km,5892539,10.1,60,88,166,166
Nevada,1,Tuesday,21:07:06,Rainy,Dry,Night,Highway,0,Underpass,Side collision,Car,116,Teenager,5,Multiple-vehicle,181,1.0,35.0,1.261889649,9.485539055,123.2810386,3.680012215,0.194029251,53.0,26.20189458,True,1.5142857142857142,0-3 km,3177772,13.1,110,93,87,84
New Mexico,1,Saturday,19:23:49,Rainy,Snowy,Night,Freeway,0,Underpass,Run-off-road,Car,123,Adult,1,Single-vehicle,256,1.0,35.0,6.537968381,5.611784341,130.6970852,7.522911848,0.98782122,42.0,14.83264459,False,1.2,6-10 km,2113344,22.1,150,90,119,148
North Dakota,1,Sunday,01:46:05,Stormy,Icy,Night,Street,0,Intersection,Pedestrian involved,Car,13,Senior,4,Multiple-vehicle,55,2.0,57.0,0.27146822,2.321555748,975.5922644,7.522911848,0.644078632,52.0,15.10315875,False,0.912280701754386,0-3 km,779261,12.6,41,81,13,41
Vermont,1,Monday,00:28:56,Rainy,Icy,Night,Rural,64,Intersection,Rollover,Bicycle,1,Teenager,1,Single-vehicle,43,1.0,41.0,7.641571886,1.765396358,744.2144473,3.500966517,0.725146794,74.0,19.53421453,True,1.804878048780488,6-10 km,647064,11.7,31,90,18,27
Utah,1,Saturday,16:08:45,Foggy,Snowy,Daylight,Urban,206,Intersection,Rear-end collision,Truck,8,Senior,3,Multiple-vehicle,139,2.0,54.0,0.831106157,4.83861128,904.639672,7.220186144,0.856002058,45.0,18.46263649,False,0.8333333333333334,0-3 km,3380800,9.4,117,90,80,87
Utah,1,Monday,05:41:23,Stormy,Muddy,Dawn,Urban,206,Underpass,Side collision,Truck,8,Teenager,2,Multiple-vehicle,139,2.0,36.0,0.297407326,7.6701075,767.5276457,7.220186144,0.81534511,4.0,13.21231394,False,0.1111111111111111,0-3 km,3380800,9.4,117,90,80,87
Oklahoma,2,Sunday,00:21:24,Snowy,Dry,Night,Freeway,0,Intersection,Rollover,Bicycle,14,Young Adult,5,Multiple-vehicle,349,0.0,58.0,1.202014665,7.189656054,852.7822138,6.801458998,0.203192482,19.0,15.80845941,False,0.3275862068965517,0-3 km,4019800,17.7,304,80,193,223
South Dakota,1,Tuesday,05:44:43,Snowy,Muddy,Dawn,Rural,109,Crossroads,Side collision,Pedestrian,11,Teenager,2,Multiple-vehicle,61,1.0,58.0,7.005291076,9.121160179,166.1221074,3.687877127,0.641906101,93.0,23.68455791,True,1.603448275862069,6-10 km,909824,15.1,28,88,35,51
South Dakota,2,Sunday,22:59:45,Foggy,Wet,Night,Freeway,0,Overpass,Rear-end collision,Motorcycle,13,Senior,5,Multiple-vehicle,61,3.0,53.0,4.548085187,8.72127911,272.4770219,4.754214139,0.648293986,26.0,24.93759047,False,0.490566037735849,3-6 km,909824,15.1,28,88,35,51
Ohio,2,Tuesday,00:15:53,Sunny,Wet,Night,Freeway,8,Intersection,Run-off-road,Bicycle,8,Adult,1,Single-vehicle,637,1.0,69.0,3.761010189,8.894930269,366.8513973,5.106374394,0.421333401,44.0,20.98721982,False,0.6376811594202898,3-6 km,11756058,10.8,539,81,307,402
South Dakota,1,Wednesday,09:07:23,Sunny,Dry,Daylight,Street,0,Overpass,Side collision,Bicycle,2,Senior,5,Multiple-vehicle,61,2.0,35.0,9.062531344,0.805914979,273.7830982,8.763403565,0.267554243,39.0,20.98721982,True,1.1142857142857143,6-10 km,909824,15.1,28,88,35,51
Wisconsin,1,Tuesday,14:27:56,Rainy,Snowy,Daylight,Freeway,1,Underpass,Side collision,Motorcycle,82,Adult,4,Multiple-vehicle,276,1.0,35.0,6.984006906,4.58622497,760.2168885,6.901824527,0.53134739,60.0,20.98721982,False,1.7142857142857142,6-10 km,5892539,10.1,60,88,166,166
Idaho,1,Sunday,21:40:33,Foggy,Icy,Night,Urban,51,Underpass,Rollover,Motorcycle,27,Teenager,5,Multiple-vehicle,102,2.0,48.0,0.46769676,2.364504107,210.6602708,7.0837965,0.527510588,37.0,26.48472731,False,0.7708333333333334,0-3 km,1939033,11.1,80,88,54,84
Kansas,2,Tuesday,12:46:03,Rainy,Wet,Daylight,Street,1,Roundabout,Side collision,Pedestrian,32,Teenager,2,Multiple-vehicle,190,2.0,42.0,9.276154411,5.625290079,805.4632916,4.337843491,0.997652674,8.0,21.13551176,False,0.1904761904761904,6-10 km,2937150,14.0,116,87,114,148
New Hampshire,1,Friday,03:36:09,Foggy,Wet,Night,Highway,0,Roundabout,Head-on collision,Motorcycle,32,Senior,4,Multiple-vehicle,64,3.0,42.0,9.723557472,2.067633071,305.1273125,7.750484753,0.912886532,83.0,15.69984688,False,1.9761904761904765,6-10 km,1395231,10.5,66,77,26,55
Idaho,1,Saturday,20:12:31,Foggy,Icy,Night,Rural,164,Roundabout,Run-off-road,Car,68,Young Adult,5,Multiple-vehicle,102,0.0,49.0,5.697980193,6.525335283,499.5309775,7.888238655,0.976205038,83.0,24.26458025,False,1.6938775510204085,3-6 km,1939033,11.1,80,88,54,84
Wyoming,2,Friday,10:32:06,Rainy,Muddy,Daylight,Street,1,Underpass,Cyclist involved,Car,32,Senior,3,Multiple-vehicle,50,3.0,54.0,0.656415904,1.468389058,657.5095208,4.418874069,0.204145394,83.0,28.18346933,False,1.537037037037037,0-3 km,581381,23.0,42,78,26,61
Maine,2,Friday,12:57:05,Stormy,Icy,Daylight,Freeway,2,Overpass,Rollover,Bicycle,2,Adult,1,Single-vehicle,109,1.0,35.0,0.753899403,9.808309278,597.8720596,9.46497139,0.614867222,92.0,29.34615435,True,2.628571428571429,0-3 km,1385340,13.1,82,93,58,65
Virginia,1,Tuesday,08:40:37,Snowy,Muddy,Daylight,Street,3,Roundabout,Head-on collision,Bicycle,11,Young Adult,3,Multiple-vehicle,429,1.0,58.0,0.209529458,9.853242119,513.5155582,6.945893904,0.673833956,56.0,6.826086014,False,0.9655172413793104,0-3 km,8683619,11.6,414,76,280,379
Connecticut,1,Monday,01:27:12,Rainy,Muddy,Night,Street,4,Overpass,Rear-end collision,Car,135,Senior,5,Multiple-vehicle,170,1.0,49.0,5.810427982,7.628616195,796.9579012,4.589567978,0.245943173,56.0,28.88374746,False,1.1428571428571428,3-6 km,3626205,9.9,141,92,83,76
Mississippi,2,Friday,11:21:18,Rainy,Muddy,Daylight,Highway,28,Intersection,Rear-end collision,Pedestrian,81,Senior,3,Multiple-vehicle,308,2.0,62.0,0.756943697,5.398856846,551.0157299,8.281628409,0.574710358,3.0,27.94834299,False,0.0483870967741935,0-3 km,2940057,23.9,17,79,227,200
Alaska,2,Sunday,17:44:44,Sunny,Dry,Daylight,Freeway,2,Underpass,Rear-end collision,Car,27,Young Adult,3,Multiple-vehicle,44,0.0,59.0,1.175255342,6.975206808,872.2803286,9.309907934,0.220073867,3.0,9.718816306,False,0.0508474576271186,0-3 km,733583,11.2,39,92,31,17
Washington,1,Wednesday,15:56:35,Sunny,Icy,Daylight,Rural,293,T-Junction,Cyclist involved,Motorcycle,133,Senior,5,Multiple-vehicle,342,1.0,36.0,6.026846262,6.302801633,591.8945463,3.361014292,0.682362774,94.0,27.74687916,True,2.611111111111111,6-10 km,7785786,9.4,240,94,212,156
Minnesota,2,Saturday,01:28:35,Foggy,Snowy,Night,Rural,235,Overpass,Rear-end collision,Truck,7,Young Adult,2,Multiple-vehicle,224,3.0,36.0,8.115155624,8.743055378,980.3640026,4.417862692,0.306652979,32.0,24.57712798,False,0.8888888888888888,6-10 km,5717184,7.8,160,93,154,80
Illinois,1,Thursday,05:50:06,Sunny,Muddy,Dawn,Urban,872,Overpass,Rollover,Truck,26,Adult,4,Multiple-vehicle,647,2.0,35.0,0.731941488,5.23264009,161.8408002,5.934938807,0.984628541,59.0,28.09237797,True,1.6857142857142855,0-3 km,12582032,10.1,367,93,339,276
Maine,2,Sunday,23:18:42,Foggy,Muddy,Night,Urban,27,T-Junction,Cyclist involved,Bicycle,2,Senior,4,Multiple-vehicle,73,2.0,37.0,3.657658708,8.696016355,848.8270674,9.504732658,0.169160078,53.0,10.09108864,True,1.4324324324324325,3-6 km,1385340,13.1,82,93,58,65
Colorado,2,Thursday,00:21:29,Snowy,Dry,Night,Urban,463,Roundabout,Side collision,Bicycle,15,Senior,4,Multiple-vehicle,367,3.0,64.0,4.716952529,9.798995564,434.3514643,4.895409156,0.551982012,50.0,20.31043867,False,0.78125,3-6 km,5839926,13.1,288,87,225,235
Arkansas,2,Sunday,06:44:29,Snowy,Muddy,Daylight,Street,0,Crossroads,Side collision,Truck,13,Senior,3,Multiple-vehicle,317,3.0,67.0,6.214251446,2.763784798,216.8381907,6.063431611,0.361726274,48.0,14.37465564,False,0.7164179104477612,6-10 km,3045637,21.1,237,79,165,191
Tennessee,1,Tuesday,08:45:56,Snowy,Icy,Daylight,Freeway,0,Crossroads,Cyclist involved,Pedestrian,210,Young Adult,5,Multiple-vehicle,604,2.0,39.0,7.212612873,3.601219158,784.7767067,8.302279829,0.603785642,74.0,18.37823742,True,1.8974358974358971,6-10 km,7051339,18.6,446,91,378,438
Indiana,1,Tuesday,00:05:59,Foggy,Icy,Night,Rural,569,Overpass,Rear-end collision,Motorcycle,126,Adult,2,Multiple-vehicle,483,3.0,62.0,8.892610206,2.127162729,688.5427429,6.914410082,0.819604429,94.0,8.552036894,True,1.5161290322580645,6-10 km,6833037,13.9,127,93,261,232
Rhode Island,2,Monday,02:33:41,Foggy,Dry,Night,Street,1,Overpass,Cyclist involved,Motorcycle,10,Teenager,1,Single-vehicle,37,2.0,42.0,3.528828434,5.461657374,115.1996639,4.615854792,0.896391474,40.0,8.552036894,False,0.9523809523809524,3-6 km,1093734,4.8,22,87,14,19
Oklahoma,2,Tuesday,03:21:17,Foggy,Dry,Night,Highway,0,Intersection,Head-on collision,Car,197,Adult,1,Single-vehicle,361,3.0,30.0,7.616930623,8.254259512,741.729943,3.845190442,0.734130697,40.0,11.94667689,False,1.3333333333333333,6-10 km,4019800,17.7,304,80,193,223
Minnesota,2,Monday,19:17:51,Snowy,Snowy,Night,Rural,235,Intersection,Side collision,Truck,7,Senior,4,Multiple-vehicle,224,2.0,59.0,8.564675466,7.869672782,662.3008291,3.704217432,0.461484773,40.0,26.65431966,False,0.6779661016949152,6-10 km,5717184,7.8,160,93,154,80
Colorado,1,Tuesday,12:17:52,Snowy,Snowy,Daylight,Highway,2,Intersection,Head-on collision,Truck,12,Young Adult,3,Multiple-vehicle,367,1.0,68.0,1.881524853,3.143189747,748.437005,8.169249029,0.388470336,41.0,10.9328389,False,0.6029411764705882,0-3 km,5839926,13.1,288,87,225,235
Wisconsin,1,Sunday,17:18:29,Stormy,Dry,Daylight,Rural,330,Overpass,Cyclist involved,Car,233,Senior,3,Multiple-vehicle,276,3.0,62.0,2.696600046,0.190778057,141.6229587,6.145255065,0.436416244,49.0,17.99310926,False,0.7903225806451613,0-3 km,5892539,10.1,60,88,166,166
Vermont,1,Sunday,12:32:00,Stormy,Icy,Daylight,Highway,0,Roundabout,Side collision,Bicycle,1,Senior,3,Multiple-vehicle,33,1.0,58.0,3.063873228,7.138127147,524.9309076,6.200534025,0.360390406,20.0,26.05421783,False,0.3448275862068966,3-6 km,647064,11.7,31,90,18,27
Maryland,1,Wednesday,10:28:57,Stormy,Dry,Daylight,Street,7,Overpass,Run-off-road,Truck,6,Adult,4,Multiple-vehicle,274,3.0,68.0,8.208919035,0.774865213,287.6117325,9.140366364,0.295474738,53.0,5.782042464,False,0.7794117647058824,6-10 km,6164660,9.1,208,93,154,150
Alaska,1,Tuesday,23:01:57,Foggy,Dry,Night,Urban,41,Crossroads,Side collision,Motorcycle,8,Senior,4,Multiple-vehicle,44,1.0,53.0,8.718702283,0.31219328,131.6823745,6.256411075,0.865547174,65.0,21.36110154,True,1.2264150943396226,6-10 km,733583,11.2,39,92,31,17
Mississippi,1,Friday,11:59:00,Foggy,Wet,Daylight,Rural,470,Crossroads,Pedestrian involved,Truck,14,Adult,1,Single-vehicle,395,0.0,36.0,8.598951315,9.637013115,465.1891307,3.746922292,0.67732246,53.0,21.36110154,True,1.4722222222222223,6-10 km,2940057,23.9,17,79,227,200
North Carolina,2,Thursday,16:58:45,Rainy,Icy,Daylight,Rural,966,Overpass,Pedestrian involved,Pedestrian,257,Teenager,5,Multiple-vehicle,753,0.0,37.0,1.055355592,4.935795545,688.6762326,8.684450252,0.507168971,53.0,15.9503322,False,1.4324324324324325,0-3 km,10698973,15.2,384,91,530,512
Massachusetts,2,Saturday,10:05:26,Sunny,Muddy,Daylight,Urban,400,Overpass,Side collision,Car,163,Teenager,2,Multiple-vehicle,168,1.0,37.0,6.170339604,9.11429871,214.3099125,8.684450252,0.543855646,24.0,24.40925982,False,0.6486486486486487,6-10 km,6981974,6.2,204,77,96,137
Oregon,2,Sunday,08:01:10,Foggy,Muddy,Daylight,Highway,0,Overpass,Rear-end collision,Bicycle,12,Teenager,5,Multiple-vehicle,265,3.0,55.0,2.439029828,4.239957355,903.2428793,5.27216533,0.367198644,44.0,27.17392001,False,0.8,0-3 km,4240137,14.2,210,97,193,110
Alaska,2,Tuesday,17:49:48,Stormy,Wet,Daylight,Highway,2,T-Junction,Cyclist involved,Car,27,Adult,5,Multiple-vehicle,44,1.0,66.0,0.438334222,6.109786834,629.5108354,5.257400497,0.597776458,9.0,26.92966193,False,0.1363636363636363,0-3 km,733583,11.2,39,92,31,17
Hawaii,1,Wednesday,16:06:02,Snowy,Muddy,Daylight,Urban,101,Intersection,Run-off-road,Truck,1,Teenager,4,Multiple-vehicle,50,3.0,44.0,9.112348558,2.632630046,641.8270689,8.669760132,0.983354768,100.0,10.98246221,True,2.272727272727273,6-10 km,1440196,8.1,28,96,24,16
Hawaii,1,Saturday,02:34:18,Snowy,Dry,Night,Highway,1,Crossroads,Cyclist involved,Motorcycle,33,Young Adult,4,Multiple-vehicle,50,0.0,51.0,9.177307693,2.233486993,834.4104946,8.669760132,0.401580542,97.0,18.90619237,True,1.9019607843137252,6-10 km,1440196,8.1,28,96,24,16
South Dakota,1,Thursday,18:43:21,Stormy,Wet,Dusk,Street,0,Underpass,Run-off-road,Truck,4,Adult,4,Multiple-vehicle,61,2.0,37.0,3.945097434,1.765729597,579.1517802,9.986744669,0.719401584,40.0,17.77022631,True,1.0810810810810811,3-6 km,909824,15.1,28,88,35,51
Alabama,2,Friday,16:26:57,Rainy,Snowy,Daylight,Freeway,1,Overpass,Run-off-road,Pedestrian,114,Adult,3,Multiple-vehicle,457,2.0,54.0,5.084626246,4.768610629,617.0613223,8.009647436,0.252121583,99.0,29.08245678,True,1.8333333333333333,3-6 km,5074296,19.5,344,93,283,364
Delaware,2,Thursday,17:46:48,Stormy,Wet,Daylight,Urban,81,Underpass,Rollover,Truck,1,Adult,1,Single-vehicle,67,1.0,67.0,3.966698679,9.471346138,762.2251223,8.552200333,0.225022838,6.0,22.73029536,False,0.0895522388059701,3-6 km,1018396,15.9,46,90,61,36
West Virginia,1,Wednesday,03:40:53,Stormy,Dry,Night,Freeway,1,Underpass,Pedestrian involved,Car,72,Senior,4,Multiple-vehicle,103,1.0,66.0,9.466646907,4.654834227,400.0732692,8.552200333,0.34852435,39.0,25.36400197,False,0.5909090909090909,6-10 km,1775156,14.9,102,93,57,85
Nebraska,1,Monday,01:31:48,Snowy,Wet,Night,Urban,95,Crossroads,Rollover,Truck,12,Senior,4,Multiple-vehicle,151,3.0,37.0,4.426982555,6.116763003,362.1872787,3.961196611,0.367192966,47.0,15.86380817,True,1.2702702702702702,3-6 km,1967923,12.4,106,76,62,86
Maryland,1,Thursday,16:02:34,Snowy,Dry,Daylight,Freeway,7,Intersection,Head-on collision,Bicycle,10,Senior,5,Multiple-vehicle,274,2.0,59.0,3.350231416,6.778685136,683.9090226,6.299949428,0.954811777,48.0,15.86380817,False,0.8135593220338984,3-6 km,6164660,9.1,208,93,154,150
South Dakota,1,Tuesday,03:55:21,Snowy,Snowy,Night,Street,0,Intersection,Rollover,Bicycle,2,Young Adult,5,Multiple-vehicle,61,3.0,55.0,3.731181547,5.806986153,634.9113506,6.677666665,0.581399226,93.0,22.17296361,True,1.690909090909091,3-6 km,909824,15.1,28,88,35,51
Rhode Island,2,Tuesday,02:00:49,Sunny,Muddy,Night,Highway,1,Crossroads,Run-off-road,Pedestrian,7,Teenager,1,Single-vehicle,37,0.0,55.0,5.226161219,2.469287092,671.8556608,5.222674363,0.532560741,70.0,7.999647592,True,1.2727272727272727,3-6 km,1093734,4.8,22,87,14,19
New Jersey,1,Saturday,04:27:31,Stormy,Dry,Night,Street,5,Crossroads,Head-on collision,Truck,17,Young Adult,1,Single-vehicle,357,1.0,63.0,8.949351453,1.320804163,633.1868736,3.005988529,0.576522299,70.0,21.48410666,False,1.1111111111111112,6-10 km,9261699,7.4,235,93,196,141
Delaware,1,Friday,22:24:12,Stormy,Wet,Night,Urban,81,Roundabout,Rollover,Truck,1,Teenager,1,Single-vehicle,67,2.0,33.0,6.46878542,9.111251466,803.5002111,9.154388872,0.210678923,7.0,8.34515131,False,0.2121212121212121,6-10 km,1018396,15.9,46,90,61,36
